steps,Achem0,Achem1,Achem2,Achem3,Achem4,Achem5,Achem6,Achem7,AreactRate,Bchem0,Bchem1,Bchem2,Bchem3,Bchem4,Bchem5,Bchem6,Bchem7,BreactRate,Cchem0,Cchem1,Cchem2,Cchem3,Cchem4,Cchem5,Cchem6,Cchem7,CreactRate,Dchem0,Dchem1,Dchem2,Dchem3,Dchem4,Dchem5,Dchem6,Dchem7,DreactRate,B1thres,B1chance,C1thres,C1chance,C2thres,C2chance,C3thres,C3chance,D1thres,D1chance,D2thres,D2chance,zeros
65,0,0,0,0,0,2,13,0,42,19,0,0,0,0,0,0,1,47,9,10,17,0,0,0,0,0,64,17,16,0,0,0,0,0,0,60,100,61,100,61,100,72,100,72,100,72,100,72,0
66,0,0,0,0,0,2,13,0,40,20,0,0,0,0,0,0,2,47,9,10,17,0,0,0,0,0,64,18,17,0,0,0,0,0,0,60,100,61,100,61,100,72,100,72,100,72,100,72,0
67,0,0,0,0,0,2,13,0,42,19,0,0,0,0,0,0,1,47,10,10,18,0,0,0,0,0,63,18,16,0,0,0,0,0,0,61,100,61,100,61,100,72,100,72,100,72,100,72,0
68,0,0,0,0,0,2,13,0,40,20,0,0,0,0,0,0,2,47,9,10,17,0,0,0,0,0,64,19,17,0,0,0,0,0,0,61,100,60,100,60,100,70,100,70,100,70,100,70,0
69,0,0,0,0,0,2,14,0,41,19,0,0,0,0,0,0,2,48,9,10,17,0,0,0,0,0,64,19,17,0,0,0,0,0,0,63,100,60,100,60,100,70,100,70,100,70,100,70,0
70,0,0,0,0,0,2,14,0,43,20,0,0,0,0,0,0,2,47,10,10,18,0,0,0,0,0,63,19,17,0,0,0,0,0,0,63,100,58,100,58,100,67,100,67,100,67,100,67,0
71,0,0,0,0,0,2,14,0,41,20,0,0,0,0,0,0,2,49,9,10,17,0,0,0,0,0,64,20,17,0,0,0,0,0,0,62,100,58,100,58,100,67,100,67,100,67,100,67,0
72,0,0,0,0,0,2,14,0,43,20,0,0,0,0,0,0,2,47,10,11,18,0,0,0,0,0,64,20,17,0,0,0,0,0,0,64,100,57,100,57,100,65,100,65,100,65,100,65,0
73,0,0,0,0,0,2,15,0,42,20,0,0,0,0,0,0,2,49,9,11,18,0,0,0,0,0,66,20,18,0,0,0,0,0,0,63,100,57,100,57,100,65,100,65,100,65,100,65,0
74,0,0,0,0,0,3,15,0,43,20,0,0,0,0,0,0,2,47,9,11,17,0,0,0,0,0,65,20,18,0,0,0,0,0,0,65,100,56,100,56,100,62,100,62,100,62,100,62,0
75,0,0,0,0,0,2,15,0,44,20,0,0,0,0,0,0,2,49,10,11,18,0,0,0,0,0,64,20,17,0,0,0,0,0,0,64,100,56,100,56,100,62,100,62,100,62,100,62,0
76,0,0,0,0,0,3,16,0,44,21,0,0,0,0,0,0,3,49,9,11,18,0,0,0,0,0,66,20,18,0,0,0,0,0,0,63,100,55,100,55,100,60,100,60,100,60,100,60,0
77,0,0,0,0,0,2,15,0,44,20,0,0,0,0,0,0,2,49,9,11,18,0,0,0,0,0,66,20,18,0,0,0,0,0,0,65,100,55,100,55,100,60,100,60,100,60,100,60,0
78,0,0,0,0,0,3,16,0,44,21,0,0,0,0,0,0,3,49,9,11,18,0,0,0,0,0,63,20,18,0,0,0,0,0,0,65,100,53,100,53,100,57,100,57,100,57,100,57,0
79,0,0,0,0,0,2,15,0,44,21,0,0,0,0,0,0,2,50,9,11,18,0,0,0,0,0,66,20,18,0,0,0,0,0,0,63,100,52,100,52,100,55,100,55,100,55,100,55,0
80,0,0,0,0,0,3,16,0,44,21,0,0,0,0,0,0,3,49,8,11,18,0,0,0,0,0,65,20,18,0,0,0,0,0,0,65,100,52,100,52,100,55,100,55,100,55,100,55,0
81,0,0,0,0,0,2,16,0,45,21,0,0,0,0,0,0,3,51,9,11,18,0,0,0,0,0,63,20,18,0,0,0,0,0,0,65,100,51,100,51,100,52,100,52,100,52,100,52,0
82,0,0,0,0,0,3,16,0,44,21,0,0,0,0,0,0,3,49,8,11,18,0,0,0,0,0,65,20,18,0,0,0,0,0,0,63,100,51,100,51,100,52,100,52,100,52,100,52,0
83,0,0,0,0,0,3,17,0,45,21,0,0,0,0,0,0,3,51,9,12,18,0,0,0,0,0,64,20,18,0,0,0,0,0,0,65,100,50,100,50,100,50,100,50,100,50,100,50,0
